Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
22,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,34.5014953583673,65.4985046416327
23,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,37.83030882811692,62.16969117188308
24,Transformers: Dark of the Moon,1123794079,352390543,771403536,2011.csv,2011,31.357216556397248,68.64278344360275
25,Skyfall,1108561013,304360277,804200736,2012.csv,2012,27.45543758356943,72.54456241643057
26,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014,22.230711540729683,77.76928845927031
27,The Dark Knight Rises,1081041287,448139099,632902188,2012.csv,2012,41.45439257399981,58.54560742600019
28,Joker,1074251311,335451311,738800000,2019.csv,2019,31.22652097931673,68.77347902068327
29,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,47.963999524205434,52.03600047579457
30,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,40.436015872496576,59.563984127503424
31,Toy Story 3,1066969703,415004880,651964823,2010.csv,2010,38.89565737744289,61.104342622557105
32,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016,50.392846828109484,49.607153171890516
33,Aladdin,1050693953,355559216,695134737,2019.csv,2019,33.84041708670612,66.15958291329387
34,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,804642000,2011.csv,2011,23.053325062644625,76.94667493735537
35,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017,25.57252136969475,74.42747863030525
36,Finding Dory,1028570889,486295561,542275328,2016.csv,2016,47.278759898871684,52.721240101128316
37,Alice in Wonderland,1025467110,334191110,691276000,2010.csv,2010,32.58915929541612,67.41084070458389
38,Zootopia,1023784195,341268248,682515947,2016.csv,2016,33.33400238709487,66.66599761290513
39,The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,2012.csv,2012,29.793756633113404,70.20624336688658
40,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,680553613,2010.csv,2010,30.309484418283915,69.69051558171608
