product_id,url
B07CVL2D2S,https://amazon.com/Acer-SB220Q-Ultra-Thin-Frame-Monitor/dp/B07CVL2D2S/ref=sr_1_13?dchild=1&qid=1606568630&s=electronics&sr=1-13
B089KTJWHK,https://amazon.com/Logitech-Wireless-Keyboard-SilentTouch-Technology/dp/B089KTJWHK/ref=sr_1_9?qid=1606568630&s=electronics&sr=1-9
B07RF1XD36,https://amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36/ref=sr_1_4?dchild=1&qid=1606568630&s=electronics&sr=1-4
B0862269YP,https://amazon.com/Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP/ref=sr_1_11?dchild=1&qid=1606568630&s=electronics&sr=1-11
B07GBZ4Q68,https://amazon.com/Logitech-G502-Performance-Gaming-Mouse/dp/B07GBZ4Q68/ref=sr_1_16?dchild=1&qid=1606568630&s=electronics&sr=1-16#customerReviews
B07YFFX5MD,https://amazon.com/Blue-SN550-1TB-NVMe-Internal/dp/B07YFFX5MD/ref=sr_1_8?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-8
B00TKFCYP0,https://amazon.com/SanDisk-Cruzer-128GB-Flash-SDCZ36-128G-B35/dp/B00TKFCYP0/ref=sr_1_16?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-16#customerReviews
B089C73T72,https://amazon.com/SAMSUNG-870-QVO-SATA-MZ-77Q1T0B/dp/B089C73T72/ref=sr_1_15?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-15#customerReviews
B07CRG94G3,https://amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_1?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-1
B07BN217QG,https://amazon.com/Samsung-970-EVO-1TB-MZ-V7E1T0BW/dp/B07BN217QG/ref=sr_1_4?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-4#customerReviews
B073SBZ8YH,https://amazon.com/Blue-NAND-500GB-SSD-WDS500G2B0A/dp/B073SBZ8YH/ref=sr_1_12?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-12
B07VNTFHD5,https://amazon.com/WD_Black-Drive-External-Compatible-WDBA3A0050BBK-WESN/dp/B07VNTFHD5/ref=sr_1_9?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-9
B06W55K9N6,https://amazon.com/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_6?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-6#customerReviews
B07M9VCHDG,https://amazon.com/Seagate-Drive-Systems-External-Portable/dp/B07M9VCHDG/ref=sr_1_14?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-14
B073SBZ8YH,https://amazon.com/Blue-NAND-500GB-SSD-WDS500G2B0A/dp/B073SBZ8YH/ref=sr_1_12?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-12#customerReviews
B07CRG94G3,https://amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_1?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-1#customerReviews
B07YFFX5MD,https://amazon.com/Blue-SN550-1TB-NVMe-Internal/dp/B07YFFX5MD/ref=sr_1_8?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-8#customerReviews
B073H552FJ,https://amazon.com/Samsung-T5-Portable-SSD-MU-PA1T0B/dp/B073H552FJ/ref=sr_1_10?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-10
B00TKFCYP0,https://amazon.com/SanDisk-Cruzer-128GB-Flash-SDCZ36-128G-B35/dp/B00TKFCYP0/ref=sr_1_16?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-16
B07H2RR55Q,https://amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07H2RR55Q/ref=sr_1_5?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-5
B07MFZY2F2,https://amazon.com/Samsung-970-EVO-Plus-MZ-V7S1T0B/dp/B07MFZY2F2/ref=sr_1_3?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-3#customerReviews
B07BN217QG,https://amazon.com/Samsung-970-EVO-1TB-MZ-V7E1T0BW/dp/B07BN217QG/ref=sr_1_4?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-4
B07VNTFHD5,https://amazon.com/WD_Black-Drive-External-Compatible-WDBA3A0050BBK-WESN/dp/B07VNTFHD5/ref=sr_1_9?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-9#customerReviews
B07X4V2M3B,https://amazon.com/12TB-Elements-Desktop-Drive-WDBWLG0120HBK-NESN/dp/B07X4V2M3B/ref=sr_1_7?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-7
B08K3S6WJM,https://amazon.com/Seagate-Storage-Expansion-Solid-State/dp/B08K3S6WJM/ref=sr_1_13?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-13
B073H552FJ,https://amazon.com/Samsung-T5-Portable-SSD-MU-PA1T0B/dp/B073H552FJ/ref=sr_1_10?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-10#customerReviews
B01N5IB20Q,https://amazon.com/Kingston-240GB-Solid-SA400S37-240G/dp/B01N5IB20Q/ref=sr_1_11?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-11
B06W55K9N6,https://amazon.com/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_6?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-6
B078DPCY3T,https://amazon.com/Samsung-Inch-Internal-MZ-76E1T0B-AM/dp/B078DPCY3T/ref=sr_1_2?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-2#customerReviews
B08GRM45J7,https://amazon.com/Seagate-One-Touch-External-Drive/dp/B08GRM45J7/ref=sr_1_1?qid=1606568647&s=computers-intl-ship&sr=1-1
B078DPCY3T,https://amazon.com/Samsung-Inch-Internal-MZ-76E1T0B-AM/dp/B078DPCY3T/ref=sr_1_2?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-2
B07M9VCHDG,https://amazon.com/Seagate-Drive-Systems-External-Portable/dp/B07M9VCHDG/ref=sr_1_14?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-14#customerReviews
B07X4V2M3B,https://amazon.com/12TB-Elements-Desktop-Drive-WDBWLG0120HBK-NESN/dp/B07X4V2M3B/ref=sr_1_7?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-7#customerReviews
B01N5IB20Q,https://amazon.com/Kingston-240GB-Solid-SA400S37-240G/dp/B01N5IB20Q/ref=sr_1_11?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-11#customerReviews
B08K3S6WJM,https://amazon.com/Seagate-Storage-Expansion-Solid-State/dp/B08K3S6WJM/ref=sr_1_13?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-13#customerReviews
B089C73T72,https://amazon.com/SAMSUNG-870-QVO-SATA-MZ-77Q1T0B/dp/B089C73T72/ref=sr_1_15?dchild=1&qid=1606568647&s=computers-intl-ship&sr=1-15
