New header,#,New header,Name,Market CapMCap,"Price
Price",Change,7D Prediction,Volume,Transparent Volume,Circulating Supply,Price,CSV Data,New header
,301,1,"Bitcoin 2
BTC2","$12,507,128$12.51M","$0.702779$0.702779
2.95%",2.95%,Unlock,"$700700 USD
996 BTC2996 BTC2",0%,"Sply:17,796,675",,Buy Data,
,302,4,"Measurable Data Token
MDT","$12,284,694$12.28M","$0.020261$0.020261
-3.52%",-3.52%,—,"$4,625,1814.63M USD
228,279,075 MDT228.28M MDT",$4.56M99%,"Sply:606,319,736",,Buy Data,
,303,6,"FOAM Token
FOAM","$12,283,423$12.28M","$0.035220$0.035220
-5.39%",-5.39%,—,"$51,05751,057 USD
1,449,670 FOAM1.45M FOAM","$1,4713%","Sply:348,764,521",,Buy Data,
,304,19,"QASH
QASH","$11,933,429$11.93M","$0.034096$0.034096
10.96%",10.96%,—,"$561,318561,318 USD
16,463,105 QASH16.46M QASH","$393,43470%","Sply:349,999,989",,Buy Data,
,305,4,"Chromia
CHR","$11,868,926$11.87M","$0.026410$0.026410
-2.58%",-2.58%,—,"$2,300,7302.30M USD
87,115,045 CHR87.12M CHR","$938,75641%","Sply:449,405,999",,Buy Data,
,306,5,"COCOS BCX
COCOS","$11,812,593$11.81M","$0.00030037$0.00030037
2.60%",2.60%,—,"$755,650755,650 USD
2.52B COCOS2.52B COCOS","$208,68928%","Sply:39,326,586,220",,Buy Data,
,307,10,"Nash Exchange
NEX","$11,692,160$11.69M","$0.838567$0.838567
6.33%",6.33%,—,"$41,81841,818 USD
49,868 NEX49,868 NEX","$32,54978%","Sply:13,943,022",,Buy Data,
,308,3,"Aergo
AERGO","$11,593,703$11.59M","$0.043912$0.043912
-2.09%",-2.09%,—,"$5,170,2075.17M USD
117,739,534 AERGO117.74M AERGO","$173,6013%","Sply:264,019,890",,Buy Data,
,309,3,"Metronome
MET","$11,412,020$11.41M","$1.0195$1.0195
-0.79%",-0.79%,—,"$191,666191,666 USD
188,000 MET188,000 MET","$179,06893%","Sply:11,193,754",,Buy Data,
,310,2,"BitKan
KAN","$11,220,439$11.22M","$0.002058$0.002058
-4.46%",-4.46%,—,"$635,618635,618 USD
308,880,640 KAN308.88M KAN","$37,2386%","Sply:5,452,621,227",,Buy Data,
,311,4,"Moeda Loyalty Points
MDA","$11,061,938$11.06M","$0.563554$0.563554
-1.42%",-1.42%,—,"$164,610164,610 USD
292,092 MDA292,092 MDA","$119,58473%","Sply:19,628,888",,Buy Data,
,312,9,"Pluton
PLU","$10,987,383$10.99M","$5.9327$5.9327
1.36%",1.36%,—,"$648,856648,856 USD
109,369 PLU109,369 PLU","$10,7942%","Sply:1,852,000",,Buy Data,
,313,6,"Monolith
TKN","$10,930,983$10.93M","$0.316456$0.316456
0.23%",0.23%,—,"$247,848247,848 USD
783,199 TKN783,199 TKN",$204.00<1%,"Sply:34,541,835",,Buy Data,
,314,6,"Firstblood
1ST","$10,791,009$10.79M","$0.132456$0.132456
-0.64%",-0.64%,—,"$102102 USD
767 1ST767 1ST",$7.00007%,"Sply:81,468,683",,Buy Data,
,315,3,"GHOSTPRISM
GHOST","$10,766,438$10.77M","$3.4623$3.4623
-1.78%",-1.78%,—,"$324,863324,863 USD
93,830 GHOST93,830 GHOST",0%,"Sply:3,109,657",,Buy Data,
,316,2,"Nxt
NXT","$10,717,454$10.72M","$0.010728$0.010728
-5.13%",-5.13%,—,"$1,910,4151.91M USD
178,074,443 NXT178.07M NXT","$398,91521%","Sply:998,999,942",,Buy Data,
,317,11,"Davinci Coin
DAC","$10,579,909$10.58M","$0.003554$0.003554
-4.37%",-4.37%,—,"$41,773,41641.77M USD
11.76B DAC11.76B DAC",0%,"Sply:2,977,239,402",,Buy Data,
,318,2,"Nexus
NXS","$10,500,858$10.50M","$0.175871$0.175871
-5.95%",-5.95%,—,"$81,62281,622 USD
464,102 NXS464,102 NXS","$69,90386%","Sply:59,707,886",,Buy Data,
,319,7,"Seele
SEELE","$10,402,895$10.40M","$0.014861$0.014861
-0.53%",-0.53%,—,"$29,070,17029.07M USD
1.96B SEELE1.96B SEELE",0%,"Sply:700,000,000",,Buy Data,
,320,20,"Kadena
KDA","$10,375,790$10.38M","$0.209993$0.209993
-15.44%",-15.44%,—,"$387,395387,395 USD
1,844,801 KDA1.84M KDA",0%,"Sply:49,410,280",,Buy Data,
,321,7,"Metaverse ETP
ETP","$10,278,134$10.28M","$0.129535$0.129535
3.99%",3.99%,—,"$229,233229,233 USD
1,769,656 ETP1.77M ETP","$111,36049%","Sply:79,346,355",,Buy Data,
